short,long
semi skimmed milk,"Semi-skimmed milk, pasteurisation, from raw milk to semi-skimmed milk, at 72 degrees Celsius for 30 s., French production mix, at plant, 1 kg of pasteurised milk (PGi)"
sheep milk,"Sheep milk, conventional, Roquefort system, at farm gate"
sodium chloride,"Sodium chloride, powder {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
lactic bacteria production,"Lactic bacteria production, at plant"
calcium chloride  rer   soda production,"Calcium chloride {RER}| soda production, solvay process | Cut-off, S - Copied from Ecoinvent"
dummy  rennet,"[Dummy] Rennet, animal chymosin, production mix, at plant"
yeast,"Yeast, at plant"
sodium hydroxide,"Sodium hydroxide, without water, in 50% solution state {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
nitric acid,"Nitric acid, without water, in 50% solution state {RER w/o RU}| market for nitric acid, without water, in 50% solution state | Cut-off, S - Copied from Ecoinvent"
disinfectant,"Disinfectant, at plant"
water,"Water, deionised {Europe without Switzerland}| market for water, deionised | Cut-off, S - Copied from Ecoinvent"
propane,"Propane, burned in industrial furnace, at plant"
dummy  double layer milk storage tank,"[Dummy] Double-layer milk storage tank, at plant"
dummy  maturation tank,"[Dummy] Maturation tank, at plant"
dummy  pasteurizer,"[Dummy] Pasteurizer, at plant"
dummy  cip central,"[Dummy] CIP Central, at plant"
dummy  cream separator,"[Dummy] Cream separator, at plant"
tap water  glo   market group for   cut off,"Tap water {GLO}| market group for | Cut-off, S - Copied from Ecoinvent"
building,"Building, hall {CH}| construction | Cut-off, S - Copied from Ecoinvent"
transport,"Transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, carbon dioxide, liquid refrigerant, cooling {GLO}| market for transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, carbon dioxide, liquid refrig(...)_8 | Cut-off, S - Copied from Ecoinvent"
electricity,"Electricity, medium voltage {FR}| market for | Cut-off, S - Copied from Ecoinvent"
heat,"Heat, district or industrial, natural gas {Europe without Switzerland}| heat production, natural gas, at industrial furnace low-NOx >100kW | Cut-off, S - Copied from Ecoinvent"
municipal solid waste  ch   treatment of,"Municipal solid waste {CH}| treatment of, incineration | Cut-off, S - Copied from Ecoinvent"
mixed plastics  waste treatment   glo   recycling of mixed plastics   cut off,"Mixed plastics (waste treatment) {GLO}| recycling of mixed plastics | Cut-off, S - Copied from Ecoinvent"
core board  waste treatment   glo   recycling of core board   cut off,"Core board (waste treatment) {GLO}| recycling of core board | Cut-off, S - Copied from Ecoinvent"
oat flour,"Oat flour, at industrial mill"
cooking,"Cooking, industrial, 1kg of cooked product/ FR U"
cow milk,"Cow milk, national average, at farm gate"
butter,"Butter, 82% fat, unsalted, at dairy"
egg white,"Egg white, raw, at plant"
raspberries,"Raspberries, peeled, at processing"
wheat flour,"Wheat flour, at industrial mill"
white sugar,"White sugar, production, at plant"
carrot,"Carrot, peeled, at processing"
zucchini,"Zucchini, peeled, at processing"
turnip,"Turnip, peeled, at processing"
chick peas,"Chick peas, consumption mix"
celeriac,"Celeriac, peeled, at processing"
pepper,"Pepper, green, peeled, at processing"
freezing vegetables and ready meals made from vegetables,"Freezing vegetables and ready meals made from vegetables, industrial, 1kg of frozen product/ FR U"
beef cattle,"Beef cattle, national average, at farm gate"
treatment,"Treatment, sewage, to wastewater treatment"
dummy  agricultural spreading,"[Dummy] Agricultural spreading, digestive tract contents, from slaughtering"
disposal,"Disposal, animal byproducts (category 1), to municipal incineration, allocation price"
dummy  galvanized steel scrap,"[Dummy] Galvanized steel scrap, at plant/kg"
rapeseed grain crushing,"Rapeseed grain crushing, processing"
rapeseed grain,"Rapeseed grain, conventional, dried, stored and transported, processing"
mung bean,"Mung bean, consumption mix"
palm oil,"Palm oil, refined, consumption mix"
soy lethicin,"Soy lethicin, at plant"
combined oil  mix of olive oil and seeds oil,"Combined oil (mix of olive oil and seeds oil), at plant"
cooked ham,"Cooked ham, case ready, at plant"
fresh cream cheese,"Fresh cream cheese, plain, around 3% fat, at plant"
dummy  gherkin,"[Dummy] Gherkin, pickled in vinegar, at plant"
maize grain,"Maize grain, consumption mix"
potato,"Potato, consumption mix"
red wine,"Red wine, consumption mix"
chicken egg,"Chicken egg, raw, without shell, at plant"
tomato,"Tomato, for processing, peeled, at plant"
tap water  row   market for   cut off,"Tap water {RoW}| market for | Cut-off, S - Copied from Ecoinvent"
ammonia  with 100  nh3,"Ammonia (with 100% NH3), steam reforming process, at plant (adapted from WFLDB)/UN-SEASIA U"
chemical factory  glo   market for   cut off,"Chemical factory {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
soup,"Soup, tomatoes, prepacked, to be reheated, at plant"
water evaporated,"Water evaporated, Drying process, Vacuum rotary, 1 kg water"
potassium chloride  with 60  k2o,"Potassium chloride (with 60% K2O), at plant (adapted from WFLDB)"
basil,"Basil, peeled, at processing"
garlic,"Garlic, consumption mix"
