salt,salt,salt,Salt,1.0000001
sugar,sugar,sugar,"Sugar, from sugarcane {GLO}| market for | Cut-off, S - Copied from Ecoinvent",1.0000001
water,water,water,"Water, deionised {Europe without Switzerland}| market for water, deionised | Cut-off, S - Copied from Ecoinvent",1.0000001
natural-flavouring,natural-flavouring,natural gas,"Natural gas, high pressure {Europe without Switzerland}| market group for | Cut-off, S - Copied from Ecoinvent",0.69214207
e330,e330,polyvinylpolypyrolidore pvpp,"Polyvinylpolypyrolidore (PVPP), at plant",0.28221327
wheat-flour,wheat-flour,wheat flour,"Wheat flour, at industrial mill",1.0
spice,spice,nutmeg,"Nutmeg, consumption mix",0.56720555
onion,onion,onions,"Onions, peeled, at processing",0.81567603
flavouring,flavouring,curry sauce,"Curry sauce, prepacked, at plant",0.48519918
soya-lecithin,soya-lecithin,soybean lecithin br,"Soybean lecithin BR, crushing in France, animal feed, at french mill, average",0.76953954
dextrose,dextrose,corn glucose syrup,"Corn glucose syrup, at plant (adapted from WFLDB)",0.5962166
milk,milk,milk,"Milk, whole, pasteurised, at plant",1.0
garlic,garlic,garlic,"Garlic, consumption mix",1.0000001
sunflower-oil,sunflower-oil,sunflower oil,"Sunflower oil, at plant",1.0
e375,e375,phosphoric acid with 54 p2o5,"Phosphoric acid (with 54% P2O5), at plant (adapted from WFLDB)",0.28768235
e101,e101,debonning,"Debonning, of beef quarter, for frozen ground beef processing, industrial production, French production mix, at plant, 1 kg of food grade bones (POUi)",0.20302263
cocoa-butter,cocoa-butter,cocoa butter,"Cocoa butter, at plant (adapted from WFLDB)",1.0
sea-salt,sea-salt,salt,Salt,0.8502198
folic-acid,folic-acid,hydrochloric acid,"Hydrochloric acid, without water, in 30% solution state {RER}| market for | Cut-off, S - Copied from Ecoinvent",0.8158513
e415,e415,soy lethicin,"Soy lethicin, at plant",0.26251957
corn-starch,corn-starch,maize starch,"Maize starch, at farm gate",0.90630466
preservative,preservative,disinfectant,"Disinfectant, at plant",0.48081106
corn-syrup,corn-syrup,corn glucose syrup,"Corn glucose syrup, at plant (adapted from WFLDB)",0.916507
yeast,yeast,yeast,"Yeast, at plant",1.0
e500ii,e500ii,ddgs,"DDGS, from corn, at plant",0.25392923
soya-oil,soya-oil,soybean oil,"Soybean oil, at plant",0.8648395
colour,colour,orange,"Orange, peeled, at processing",0.4879901
enzyme,enzyme,enzyme production,"Enzyme production, bacterial, at plant",0.7954794
cocoa-paste,cocoa-paste,cocoa powder,"Cocoa powder, at plant",0.75228244
skimmed-milk-powder,skimmed-milk-powder,skimmed milk powder,"Skimmed milk powder, at feed plant",1.0
thiamin-mononitrate,thiamin-mononitrate,potassium bitartrate,"Potassium bitartrate, at plant",0.58696157
maltodextrins,maltodextrins,fructose,"Fructose, production, at plant",0.58163416
cream,cream,cream,"Cream, light, 4 to 8% fat, liquid or thick, from cow milk {RoW}| yogurt production, from cow milk | Cut-off, U - Adapted from Ecoinvent",1.0
palm-oil,palm-oil,palm oil,"Palm oil, refined, consumption mix",1.0
e471,e471,urea with 46 n,"Urea (with 46% N), at plant (adapted from WFLDB)",0.13159792
e300,e300,diesel,"Diesel, low-sulfur {GLO}| market group for | Cut-off, S - Copied from Ecoinvent",0.29412827
lactic-ferments,lactic-ferments,lactic bacteria production,"Lactic bacteria production, at plant",0.7502874
e412,e412,sulphiting 2,"Sulphiting (2), from must, for white wine in an individual cellar, by hand, French production mix, at plant, 1 L of must (POUi)",0.25117838
glucose-syrup,glucose-syrup,corn glucose syrup,"Corn glucose syrup, at plant (adapted from WFLDB)",0.91900957
modified-corn-starch,modified-corn-starch,maize starch,"Maize starch, at farm gate",0.82519114
cane-sugar,cane-sugar,sugar,"Sugar, from sugarcane {GLO}| market for | Cut-off, S - Copied from Ecoinvent",0.87561584
skimmed-milk,skimmed-milk,skimmed milk,"Skimmed milk, pasteurisation, from raw milk to skimmed milk, at 72 degrees Celsius for 30 s., French production mix, at plant, 1 kg of pasteurised milk (PGi)",1.0
emulsifier,emulsifier,flocculant,"Flocculant, hydrocarbon based, at plant",0.53600454
modified-starch,modified-starch,maize starch,"Maize starch, at farm gate",0.6921716
carrot,carrot,carrot,"Carrot, peeled, at processing",1.0000001
natural-and-artificial-flavouring,natural-and-artificial-flavouring,natural gas,"Natural gas, high pressure {Europe without Switzerland}| market group for | Cut-off, S - Copied from Ecoinvent",0.6775283
egg,egg,egg yolk,"Egg yolk, raw, at plant",0.92745733
vinegar,vinegar,mayonnaise,"Mayonnaise, reduced fat or light mayonnaise, at plant",0.56271905
reduced-iron,reduced-iron,zinc monosulfate rer production cut off,"Zinc monosulfate {RER}| production | Cut-off, S - Copied from Ecoinvent",0.5687389
e407,e407,polyvinylpolypyrolidore pvpp,"Polyvinylpolypyrolidore (PVPP), at plant",0.17681974
colza-oil,colza-oil,rapeseed oil,"Rapeseed oil, at plant",0.8703786
whey,whey,whey production,"Whey production, processing",0.76702476
garlic-powder,garlic-powder,garlic,"Garlic, consumption mix",0.82915837
